iter	Logloss
0	0.6339706074
1	0.5834042809
2	0.5295192979
3	0.4891015833
4	0.4579708793
5	0.4299290397
6	0.4026172811
7	0.381540732
8	0.3618701371
99	0.3621658412
10	0.3485639746
11	0.3340320154
12	0.3247796405
13	0.3159322305
14	0.2941443415	0.2805392309
16	0.2688435424
17	0.2649120851
18	18	0.2613731514
19	0.256793499
20	0.2514101809
21	0.2457539385
22	0.242517254623	0.25059214524	0.231526028
25	0.228845748
26	0.2268406695
27	0.2237295888
28	0.2196970853
29	0.2175637158
30	0.213400494
31	0.2077994347
32	0.2060963457
33	0.205368172
34	0.2036840699
35	0.2003758821
36	0.1988922466
37	0.1984781785
38	0.1950380585
39	0.1904653202
40	0.1878616376
41	41	0.1905118769
42	0.1898716797
43	0.1864259676
44	0.1836062995
45	0.1814006459
46	0.1800322749
47	0.179683642
48	0.1781702367
49	0.1771641850	0.1753749414
51	51	0.1715536551
52	0.1710269668
53	0.1707684344
54	0.1693423011
55	0.1685900471
56	0.168346676
57	0.1670244174
58	0.1664462415
59	0.1651967439
60	0.1630978368
61	0.1626688567
62	0.1622734828
63	0.1610211676
64	0.1605834636
65	0.1589899497
66	0.1584888372
67	0.15781628
68	0.1569490975
69	0.1563076865
70	0.1543735808
71	0.1526641846
72	0.1501852382
73	0.1498582797
74	0.1455912373
75	0.1433679841
76	0.1428934769
77	0.140554233
78	0.1393866106
79	0.13608486
80	0.1356437423
81	0.1351249543
882	0.1425475749
83	0.1420614503
84	0.1414942958
85	0.138613094
86	0.1380354491
87	0.1377327009
88	0.1373868747
89	0.1369324597
90	0.136476495
91	0.1360891949
92	0.1334527406
93	0.1323469119
94	0.1302979209
95	0.1297895475
96	0.1293995489
97	0.1290570498
98	0.1286384843
99	0.128278689
100	0.1278608387
101	0.1273591952
102	0.1234143756
103	0.1215353662
104	0.120185126
105	0.1198700341
106	0.1195531108
107	0.11855107
108	0.1174627868
109	0.1171337258
110	0.116271485
111	0.1156640595
112	0.113647721
113	0.1115554896
114	0.1088058515
115	0.1082551913
116116	0.10664263117	0.1048790975
118118	0.1042753119119	0.10400531120120	0.1026607212121	0.10242161912122	0.100486506123	0.1015813893
12124	0.09903500297
125	0.09861885418
126	0.09739687226
127	0.09712825038
128	0.09687094255
129	0.09576295723
08148223704
29	0.07346883687
